	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	dear, darling, night	time, talk, things	time, talk, things	time, talk, things	time, talk, things	time, talk, things	time, talk, things	time, talk, things	time, talk, things
2	minute, wait, man	dear, darling, night	leave, excuse, evening	man, kill, die	time, life, understand	hell, guy, guys	hell, guy, guys	guys, great, time	guys, great, time
3	time, talk, things	minute, wait, man	dear, darling, night	time, life, understand	man, kill, die	man, kill, die	guys, great, time	hell, guy, guys	hell, guy, guys
4	leave, excuse, evening	time, life, understand	time, life, understand	leave, excuse, evening	leave, excuse, evening	time, life, understand	time, life, understand	time, life, understand	time, life, understand
5	eat, put, water	eat, put, water	man, kill, die	eat, put, water	eat, put, water	eat, put, water	eat, put, water	love, stop, girl	music, man, chuckles
6	time, life, understand	leave, excuse, evening	minute, wait, man	love, life, heart	hell, guy, guys	call, car, phone	man, kill, die	eat, put, water	brother, today, girl
7	money, pay, work	love, life, heart	eat, put, water	dear, darling, night	love, life, heart	love, stop, girl	call, car, phone	man, kill, die	call, car, phone
8	love, married, wife	man, horse, town	man, horse, town	money, pay, work	money, pay, work	love, life, heart	love, stop, girl	call, car, phone	dad, mom, home
9	love, life, heart	man, kill, die	love, life, heart	call, car, phone	love, stop, girl	money, pay, work	love, life, heart	love, life, heart	love, stop, girl
10	man, kill, die	money, pay, work	money, pay, work	man, horse, town	master, uncle, brother	guys, great, time	money, pay, work	money, pay, work	man, kill, die
