	1970	1980	1990	2000	2010
1	time, talk, make	time, talk, make	time, talk, make	time, talk, make	time, talk, make
2	stop, wait, shut	man, guy, hell	man, guy, hell	stop, wait, shut	people, thing, great
3	leave, understand, excuse	stop, wait, shut	stop, wait, shut	house, door, night	stop, wait, shut
4	time, life, understand	house, door, night	house, door, night	people, thing, great	guys, love, wait
5	house, door, night	time, life, understand	love, life, heart	time, life, understand	house, door, night
6	man, guy, hell	love, life, heart	time, life, understand	love, life, heart	time, life, understand
7	kill, man, dead	kill, man, dead	kill, man, dead	guys, love, wait	fuck, fucking, shit
8	dear, man, young	mother, father, son	people, thing, great	kill, man, dead	man, laughing, chuckles
9	money, pay, business	leave, understand, excuse	mother, father, son	man, guy, hell	sir, girl, happened
10	love, life, heart	money, pay, business	money, pay, business	nice, bit, guy	love, life, heart
