	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	sir, man, dear	sir, man, dear	man, horse, town	kill, dead, killed	leave, understand, time	man, hell, guy	man, hell, guy	time, call, night	time, call, night
2	man, horse, town	man, horse, town	sir, man, dear	leave, understand, time	kill, dead, killed	time, call, night	time, call, night	kill, dead, killed	kill, dead, killed
3	eat, day, time	time, call, night	time, call, night	man, horse, town	time, call, night	kill, dead, killed	kill, dead, killed	man, hell, guy	guys, wait, shit
4	leave, understand, time	eat, day, time	kill, dead, killed	sir, man, dear	man, hell, guy	leave, understand, time	time, stop, leave	time, life, years	time, life, years
5	love, heart, life	kill, dead, killed	eat, day, time	time, life, years	sir, man, dear	eat, day, time	time, life, years	time, stop, leave	screaming, chuckles, man
6	king, father, princess	leave, understand, time	time, world, planet	time, call, night	time, life, years	time, life, years	world, power, time	dad, mom, mother	man, hell, guy
7	time, life, years	time, life, years	time, life, years	king, father, princess	eat, day, time	world, power, time	eat, day, time	world, power, time	dad, mom, mother
8	time, call, night	love, heart, life	leave, understand, time	love, heart, life	man, horse, town	dad, mom, mother	police, car, call	guys, school, girls	guys, school, girls
9	kill, dead, killed	king, father, princess	sir, men, war	money, pay, business	master, sword, kill	sir, man, dear	police, found, case	eat, day, time	fucking, fuck, shit
10	police, found, case	village, find, water	love, heart, life	eat, day, time	money, pay, business	time, stop, leave	dad, mom, mother	guys, wait, shit	world, power, time
