	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	man, kill, die	man, kill, die	dog, cat, boy	time, talk, things	time, talk, things	time, talk, things	time, talk, things	time, talk, things	man, kill, die	time, talk, things	minute, wait, man	time, talk, things	time, talk, things	time, power, planet	time, talk, things	war, men, army	man, horse, town
2	hell, guy, guys	time, talk, things	love, life, heart	eat, put, water	hell, guy, guys	time, life, understand	eat, put, water	love, life, heart	time, life, understand	house, door, room	love, life, heart	police, killed, found	dear, darling, night	time, life, understand	hell, guy, guys	time, talk, things	time, talk, things
3	time, talk, things	time, life, understand	time, talk, things	minute, wait, man	police, killed, found	man, kill, die	guys, great, time	man, kill, die	king, majesty, highness	time, life, understand	dear, darling, night	time, life, understand	minute, wait, man	time, talk, things	time, life, understand	man, kill, die	man, kill, die
4	master, uncle, brother	time, power, planet	time, power, planet	dear, darling, night	police, car, find	eat, put, water	dog, cat, boy	time, life, understand	war, men, army	hell, guy, guys	time, talk, things	dear, darling, night	love, life, heart	hell, guy, guys	police, killed, found	time, life, understand	minute, wait, man
5	time, life, understand	man, find, water	time, life, understand	guys, great, time	minute, wait, man	love, life, heart	love, life, heart	world, power, monster	time, talk, things	world, power, monster	show, sing, play	house, door, room	call, car, phone	man, kill, die	man, kill, die	minute, wait, man	money, pay, work
6	police, car, find	king, majesty, highness	guys, great, time	call, car, phone	money, pay, work	dear, darling, night	minute, wait, man	eat, put, water	lord, man, master	man, kill, die	brother, today, girl	man, kill, die	time, life, understand	guys, great, time	guys, great, time	dear, darling, night	eat, put, water
7	time, power, planet	love, life, heart	world, power, monster	time, life, understand	time, life, understand	money, pay, work	dear, darling, night	dear, darling, night	man, church, priest	police, killed, found	eat, put, water	minute, wait, man	eat, put, water	world, power, monster	call, car, phone	eat, put, water	war, men, army
8	money, pay, work	dear, darling, night	eat, put, water	leave, excuse, evening	man, kill, die	leave, excuse, evening	dad, mom, home	guys, great, time	people, country, government	guys, great, time	love, married, wife	hell, guy, guys	love, married, wife	doctor, hospital, patient	police, car, find	village, people, work	man, find, water
9	brother, today, girl	eat, put, water	man, kill, die	money, pay, work	call, car, phone	minute, wait, man	time, life, understand	hell, guy, guys	love, life, heart	music, man, chuckles	leave, excuse, evening	call, car, phone	guys, great, time	music, man, chuckles	money, pay, work	car, plane, train	hell, guy, guys
10	guys, great, time	minute, wait, man	minute, wait, man	love, stop, girl	dear, darling, night	call, car, phone	mother, father, child	house, door, room	man, horse, town	dear, darling, night	money, pay, work	leave, excuse, evening	money, pay, work	minute, wait, man	dear, darling, night	leave, excuse, evening	time, life, understand
