	Action	Adventure	Animation	Crime	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	kill, dead, killed	kill, dead, killed	world, power, time	time, call, night	eat, day, time	kill, dead, killed	king, father, princess	time, call, night	love, heart, life	time, call, night	time, call, night	time, call, night	time, call, night	sir, men, war	man, horse, town
2	man, hell, guy	world, power, time	time, wait, make	police, car, call	time, wait, make	world, power, time	sir, men, war	kill, dead, killed	eat, day, time	police, found, case	love, heart, life	time, life, years	man, hell, guy	kill, dead, killed	kill, dead, killed
3	time, call, night	time, life, years	eat, day, time	man, hell, guy	time, call, night	eat, day, time	kill, dead, killed	man, hell, guy	sir, man, dear	kill, dead, killed	sir, leave, brother	time, world, planet	kill, dead, killed	time, life, years	sir, men, war
4	world, power, time	king, father, princess	stop, wait, time	kill, dead, killed	dad, mom, mother	king, father, princess	time, life, years	guys, wait, shit	sir, leave, brother	time, life, years	man, horse, town	man, hell, guy	time, life, years	sir, move, man	leave, understand, time
5	time, life, years	time, call, night	time, life, years	police, found, case	guys, school, girls	time, call, night	sir, man, dear	house, night, door	time, call, night	sir, man, dear	kill, dead, killed	kill, dead, killed	police, found, case	man, horse, town	eat, day, time
6	police, car, call	eat, day, time	kill, dead, killed	money, pay, business	village, find, water	time, life, years	man, horse, town	dad, mom, mother	time, wait, make	leave, understand, time	time, stop, leave	sir, move, man	police, car, call	plane, train, minutes	man, hell, guy
7	sir, move, man	man, hell, guy	time, call, night	leave, understand, time	world, power, time	love, heart, life	eat, day, time	time, life, years	leave, understand, time	man, hell, guy	eat, day, time	world, power, time	guys, wait, shit	leave, understand, time	money, pay, business
8	time, stop, leave	village, find, water	king, father, princess	time, life, years	king, father, princess	man, hell, guy	world, power, time	screaming, chuckles, man	king, father, princess	house, night, door	sir, man, dear	computer, system, security	leave, understand, time	eat, day, time	sir, man, dear
9	money, pay, business	sir, man, dear	man, hell, guy	time, stop, leave	sir, man, dear	screaming, chuckles, man	master, sword, kill	leave, understand, time	guys, school, girls	guys, wait, shit	time, life, years	guys, wait, shit	dad, mom, mother	time, call, night	time, call, night
10	sir, leave, brother	time, wait, make	screaming, chuckles, man	sir, man, dear	love, heart, life	time, wait, make	leave, understand, time	fucking, fuck, shit	man, hell, guy	dad, mom, mother	guys, school, girls	ship, sir, planet	fucking, fuck, shit	man, hell, guy	time, life, years
