,1930,1940,1950,1960,1970,1980,1990,2000,2010
"bit, bloody, time",-0.06571914016626579,6.90374399709981e-05,-2.5356756850669626e-05,9.931040312949335e-05,7.313425294341869e-05,2.0193351701891515e-05,5.6638574505996075e-05,5.4690153774572536e-05,-0.00710589105165127
"boat, ship, sea",0.0071975043774727965,-1.8802638805937022e-06,0.00014125380403129384,-4.5213163048174465e-05,-9.06632612895919e-06,-0.00011349528858772828,-2.176361203964916e-05,-4.405365871207323e-06,0.027790539518264268
"brother, today, girl",0.013609208329398825,-0.00039527458102384117,2.276523446198553e-05,3.658428295238991e-05,-4.927634705609307e-05,3.056291888015039e-05,-2.691533609322505e-06,4.3705962525564246e-05,0.07325401888374472
"call, car, phone",-0.24219438692853146,-7.710899353696732e-05,0.00012312074704823317,0.00012746462425639038,0.00011150199452458764,0.00015372979669336928,9.411300925421529e-05,0.00010081086293212138,-0.03258532811287296
"car, plane, train",-0.07572363379586022,0.00015881536000961205,0.00017232834125024965,3.587303126550978e-06,2.8085687233669887e-05,-0.00011121904395849924,-9.321874927081808e-06,3.413513786654221e-05,0.021838694934672276
"court, color, font",0.06694038067553265,-1.4617091892432654e-05,-3.3598563732084585e-05,-5.386412954067055e-05,-7.913526928859937e-05,-0.0001437593364244094,-4.586244574511511e-05,-0.00010339428354200209,0.036684777518985356
"dad, mom, home",-0.012444931144273141,4.227969839121215e-05,1.2743217666866258e-05,-0.00018262131925439462,-0.00018350448226556182,1.5628303572157165e-05,4.060353785462212e-05,9.226335896528326e-05,0.0683905505866278
"dear, darling, night",0.43549122883268865,0.00021557298532570712,-5.2086461437284015e-06,-4.976693253411213e-05,-0.00010922713045147248,-3.797862882493064e-05,-0.00014399549399968237,-0.00039469421972171403,-0.2599144117302785
"doctor, hospital, patient",0.0351618355653045,3.459788104009931e-05,6.49949511171144e-05,2.776938060833345e-05,-1.5037776393000968e-05,-6.134519571787678e-05,2.4498228640368325e-05,-5.1992275984957814e-05,0.007856754205249672
"dog, cat, boy",-0.12683636178326196,-4.1810829998212284e-05,-0.00013721282266487833,-1.8159473256673664e-05,-2.9155116692436422e-05,-6.277086413319921e-06,2.251649675599765e-05,-8.705215162763125e-05,0.01714799873730044
"eat, put, water",0.009787914965727396,7.9755194747122e-05,0.00016551581643398094,9.724870869831648e-05,4.19976822740864e-06,5.682806136064755e-05,0.00011196013997505361,0.00013091655205244024,0.012613543309271336
"film, movie, camera",0.08217287519300953,-5.115953536005691e-05,-1.3290124570630724e-05,-9.531816085939226e-05,-0.00010872428970287729,7.701151116634719e-05,-2.294968692240218e-05,1.2939508451381698e-05,-0.015766385340612032
"francs, french, love",0.0952533766740089,-4.437208190211095e-06,2.6318911295675207e-05,2.8910937544424087e-05,-3.298122527439773e-05,-9.97439019556623e-06,-4.633026946976315e-05,-0.00010113638927577995,0.029134301749763836
"fucking, fuck, man",-0.35199423088124604,-0.0011498782896524062,-0.0017390658413205529,-0.0010702923264034325,-0.000237772568652872,-0.0002937874315307454,-4.500229442783166e-05,6.213134838617407e-05,0.12355894466600148
"game, win, play",-0.07355397848251499,7.95410733189783e-06,3.726079694388318e-05,5.587622899838607e-05,-5.125872439748491e-05,-6.221512660431472e-05,2.0921767372783506e-05,9.958416922017932e-05,0.005625279641662928
"guys, great, time",-0.7283347101874824,-0.0002564815767982509,-0.0003723007976077497,-0.00014930201177776325,-0.0003743021879927255,-6.605596837516714e-05,3.819161429419182e-05,0.0002157159506168682,0.3042153718706686
"hell, guy, guys",-0.2560181034459674,-0.0004133615657337941,-0.00022003659432812128,-9.569211943016853e-05,0.0002654977502061229,0.0003577022689569276,0.0002503231808077544,0.00011514916877786163,-0.041883929192408687
"house, door, room",-0.0944013965281556,0.0001419678484353426,3.1698859856987838e-06,7.699695356677694e-05,5.551303274842212e-05,-2.0785239485121565e-05,-1.800876805191365e-05,-3.4492275062802946e-06,0.03875715280264558
"king, majesty, highness",0.047578044964211585,1.2776300536643248e-05,4.658385569200618e-05,-9.5766743470449e-05,-0.00015421459056597087,-6.50695155854919e-05,-7.998348883120343e-05,4.063676124133053e-05,0.03875375536608772
"leave, excuse, evening",0.20625159264182003,0.0001874948702607071,0.00012598453758982942,9.509671326668467e-05,0.00012952417637279723,7.433328119077487e-05,-0.0001223461968038464,-0.00016893561405595392,0.01366874847735744
"lord, man, master",0.037825241930477205,2.9635913961101323e-05,-4.1394336221856065e-05,-4.820318110887456e-05,-8.421162931426807e-05,-6.86300763845793e-05,-8.69089417392388e-05,-6.370895789586939e-05,0.027989897680527065
"love, life, heart",0.0704208193010345,0.00015227960989250278,8.791046980149986e-05,5.663984717330095e-05,1.4996553318269434e-05,1.0754118193290196e-05,7.666151213925332e-05,4.9603070692683104e-05,0.023415791909428663
"love, married, wife",0.021129560365807265,-7.982395254657604e-05,0.00013476483218255453,4.408219638207811e-06,4.755265172207146e-05,-6.578693955816561e-05,5.353455344447866e-05,9.699633665150031e-06,0.00015817180792510044
"love, stop, girl",-0.0928011033720395,-0.0005150525976205245,-0.0002647502551553771,8.77324229122678e-05,0.00015984570200089365,0.00013511701035895385,0.00010939892126771156,0.00017139983174274676,0.01274525119606551
"man, church, priest",0.028300081311954273,1.871598146863107e-05,1.8299259409104707e-05,-1.2314229024923407e-05,3.873812647725572e-05,-1.3897184544475749e-05,-2.334404643988819e-05,-5.900674462822053e-05,0.017892001327709295
"man, comin, baby",0.014039516501725302,5.169932046555914e-05,-3.2084678423416335e-05,-3.6010288567922544e-05,5.692326044481888e-05,-4.5840309667255497e-05,4.015957529190928e-05,-5.979876414130558e-05,-0.0684838000001946
"man, find, water",0.04619653200711582,9.00377494872373e-05,8.926839564082911e-05,-6.920085525052855e-06,2.6999160525065236e-05,-2.1454137367982185e-05,-5.4591753496424644e-05,-9.63696584221907e-06,0.031415209947908806
"man, horse, town",0.03308814299691676,9.843087718763854e-05,0.00013571201452577952,6.517285419249674e-05,7.980912812399765e-06,-3.602615834097378e-05,-1.2036440239171498e-05,7.721536530880257e-05,0.04110756471345667
"man, kill, die",-0.006324488596874289,5.3334089898271486e-05,0.00015295917455659946,0.00021829132310813293,0.00011347987128829118,7.363746044575237e-05,8.244952891800494e-05,0.00011398303058740566,0.016331478586835146
"master, uncle, brother",0.07956045040737081,1.6293863154714927e-05,-4.4116934077464975e-05,-0.00010038612754215137,0.00017363001461490057,5.028186751587782e-05,-4.555266787065193e-05,-8.69331211674762e-05,0.024581937025232037
"minute, wait, man",0.4438320893859782,0.00032838706829352304,3.850343455269467e-05,2.7421350750955753e-05,1.84665168490028e-05,-1.175932902697241e-05,-0.00015082860772963613,-0.0004757913757202914,-0.7533410346568417
"money, pay, work",0.0659803859070962,0.00015321616729124798,9.263217316402006e-05,2.4416875021415763e-05,1.8521466927268193e-05,-8.019025426619919e-05,1.564896501804469e-05,8.989742354970076e-05,0.05518091781550538
"mother, father, child",0.06810856834999868,6.152813057269668e-05,1.677581894909963e-05,-3.8743756704207044e-05,-2.000740551011404e-07,5.893459956496372e-06,5.482349865815195e-05,6.264563262448064e-05,0.028027409299284045
"music, man, chuckles",0.0373582718657417,-7.192481461970601e-05,-1.717735085549066e-05,6.59352658658463e-05,4.1007484469446354e-05,-1.3143401702109259e-05,-4.452163807400211e-05,5.4642773648083676e-06,0.16305601557905902
"pas, vous, les",0.024077080056713385,-6.59700467622315e-05,-8.482029414835779e-05,-5.9376271963174077e-05,-2.0525129230009043e-05,-0.0001086149564457628,-4.260296418578946e-05,-7.426480279093539e-05,0.018375213893250475
"people, country, government",0.05206342673454856,1.9540607809176436e-05,-1.8853181245503947e-05,-0.00010149563399863837,0.00010424568245070986,-5.09632091052481e-05,-6.709330000376212e-05,6.886641654091363e-05,0.02667352864540362
"police, car, find",0.06497180466703867,7.271839058375917e-05,-4.3557856770348735e-06,4.1409904952161014e-05,-5.270154815661954e-05,-5.1401747441559564e-05,-2.7400702947488753e-05,-3.0646623599750455e-05,0.05607490613050459
