	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	minute, wait, man	minute, wait, man	time, talk, things	man, kill, die	hell, guy, guys	hell, guy, guys	hell, guy, guys	guys, great, time	guys, great, time
2	dear, darling, night	time, talk, things	police, killed, found	wait, home, stop	master, uncle, brother	call, car, phone	eat, put, water	love, stop, girl	music, man, chuckles
3	leave, excuse, evening	dear, darling, night	car, plane, train	call, car, phone	time, life, understand	love, stop, girl	love, stop, girl	eat, put, water	fucking, fuck, man
4	wait, home, stop	leave, excuse, evening	eat, put, water	bit, bloody, time	love, stop, girl	film, movie, camera	call, car, phone	hell, guy, guys	time, talk, things
5	francs, french, love	war, men, army	sir, man, morning	time, life, understand	leave, excuse, evening	leave, excuse, evening	man, kill, die	man, kill, die	brother, today, girl
6	film, movie, camera	car, plane, train	man, kill, die	eat, put, water	man, kill, die	man, kill, die	love, life, heart	time, life, understand	dad, mom, home
7	master, uncle, brother	time, life, understand	boat, ship, sea	time, talk, things	call, car, phone	time, talk, things	time, life, understand	call, car, phone	police, car, find
8	love, life, heart	money, pay, work	man, horse, town	leave, excuse, evening	people, country, government	eat, put, water	bit, bloody, time	game, win, play	money, pay, work
9	mother, father, child	love, life, heart	love, married, wife	love, stop, girl	bit, bloody, time	master, uncle, brother	mother, father, child	dad, mom, home	time, life, understand
10	court, color, font	police, killed, found	leave, excuse, evening	house, door, room	man, comin, baby	sir, man, morning	love, married, wife	money, pay, work	war, men, army
