	1970	1980	1990	2000	2010
1	fuck, fucking, shit	people, thing, great	guys, love, wait	man, guy, hell	man, guy, hell
2	guys, love, wait	fuck, fucking, shit	young, bastard, hee	leave, understand, excuse	love, woman, sex
3	dad, mom, kids	young, bastard, hee	sir, girl, happened	master, fight, brother	love, son, heart
4	book, read, write	town, horse, sheriff	man, laughing, chuckles	man, people, village	dear, man, young
5	people, thing, great	man, bomb, security	music, dramatic, instrumental	dear, man, young	excuse, man, hotel
6	man, bomb, security	man, baby, shit	time, life, understand	man, laughing, chuckles	man, baby, shit
7	mother, father, son	game, team, ball	leave, understand, excuse	town, horse, sheriff	dog, cat, boy
8	uncle, time, boss	sir, girl, happened	show, laughter, audience	show, laughter, audience	school, teacher, class
9	love, life, heart	money, pay, business	master, fight, brother	police, gun, car	leave, understand, excuse
10	nice, bit, guy	church, priest, man	town, horse, sheriff	sir, man, men	world, human, planet
