	1970	1980	1990	2000	2010
1	leave, understand, excuse	man, guy, hell	man, guy, hell	young, bastard, hee	guys, love, wait
2	master, fight, brother	stop, wait, shut	world, human, planet	fuck, fucking, shit	man, laughing, chuckles
3	town, horse, sheriff	man, people, village	sir, man, men	man, bomb, security	fuck, fucking, shit
4	man, guy, hell	uncle, time, boss	love, son, heart	time, talk, make	people, thing, great
5	dear, man, young	excuse, man, hotel	uncle, time, boss	work, job, office	sir, girl, happened
6	love, woman, sex	love, life, heart	man, baby, shit	book, read, write	man, bomb, security
7	man, baby, shit	leave, understand, excuse	love, life, heart	vous, pas, les	dad, mom, kids
8	police, gun, car	dear, man, young	eat, nice, food	car, drive, road	work, job, office
9	money, pay, business	world, human, planet	people, thing, great	war, men, army	nice, bit, guy
10	house, door, night	music, dramatic, instrumental	love, woman, sex	love, woman, sex	love, wife, married
