	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	fontcolor, batman, simon	fucking, fuck, shit	computer, system, security	fucking, fuck, shit	fucking, fuck, shit	fucking, fuck, shit	guys, wait, shit	sir, man, dear	sir, man, dear
2	fucking, fuck, shit	guys, wait, shit	sir, move, man	guys, wait, shit	sir, move, man	money, pay, business	time, life, years	screaming, chuckles, man	man, hell, guy
3	ship, sir, planet	color, font, nbsp	mate, bit, bloody	bastard, young, stop	guys, wait, shit	time, life, years	speaking, spanish, man	leave, understand, time	leave, understand, time
4	sir, move, man	ship, sir, planet	fucking, fuck, shit	mate, bit, bloody	world, power, time	plane, train, minutes	music, dramatic, suspenseful	time, world, planet	time, stop, leave
5	sir, leave, brother	sir, move, man	screaming, chuckles, man	dad, mom, mother	guys, school, girls	ship, sir, planet	boat, ship, island	master, sword, kill	stop, wait, time
6	guys, school, girls	computer, system, security	color, font, nbsp	speaking, spanish, man	music, dramatic, suspenseful	music, dramatic, suspenseful	guys, school, girls	fontcolor, batman, simon	human, people, virus
7	music, dramatic, suspenseful	screaming, chuckles, man	guys, wait, shit	ship, sir, planet	dad, mom, mother	sir, move, man	bastard, young, stop	king, father, princess	car, road, truck
8	stop, wait, time	bastard, young, stop	man, hell, guy	guys, school, girls	speaking, spanish, man	color, font, nbsp	money, pay, business	gold, treasure, don	love, heart, life
9	gold, treasure, don	gold, treasure, don	game, win, play	gold, treasure, don	police, found, case	police, found, case	ship, sir, planet	man, horse, town	time, world, planet
10	time, wait, make	music, dramatic, suspenseful	speaking, spanish, man	sir, move, man	king, father, princess	game, win, play	leave, understand, time	speaking, spanish, man	master, sword, kill
