	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	man, horse, town	time, call, night	man, horse, town	leave, understand, time	leave, understand, time	man, hell, guy	man, hell, guy	bastard, young, stop	guys, wait, shit
2	man, hell, guy	man, horse, town	time, call, night	money, pay, business	man, hell, guy	leave, understand, time	time, call, night	find, found, years	screaming, chuckles, man
3	sir, man, dear	leave, understand, time	time, world, planet	kill, dead, killed	time, call, night	police, car, call	kill, dead, killed	fucking, fuck, shit	sir, leave, brother
4	leave, understand, time	sir, leave, brother	police, car, call	time, world, planet	master, sword, kill	dad, mom, mother	time, world, planet	world, power, time	time, life, years
5	screaming, chuckles, man	man, hell, guy	village, find, water	man, horse, town	screaming, chuckles, man	eat, day, time	computer, system, security	guys, school, girls	guys, school, girls
6	world, power, time	world, power, time	sir, men, war	house, night, door	time, world, planet	time, call, night	eat, day, time	kill, dead, killed	sir, move, man
7	police, car, call	sir, man, dear	human, people, virus	sir, man, dear	kill, dead, killed	kill, dead, killed	police, car, call	time, stop, leave	fucking, fuck, shit
8	master, sword, kill	master, sword, kill	boat, ship, island	king, father, princess	mate, bit, bloody	time, world, planet	time, stop, leave	book, read, write	time, call, night
9	dad, mom, mother	money, pay, business	car, road, truck	time, life, years	house, night, door	time, stop, leave	sir, man, dear	game, win, play	dad, mom, mother
10	love, heart, life	king, father, princess	police, found, case	time, call, night	soul, man, evil	world, power, time	police, found, case	time, call, night	money, pay, business
