,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
"baby, child, children",-0.0694555858935928,-0.0297725129785249,-0.05326927983878704,-0.05289278879081394,-0.021716933633797453,0.08643057474364468,0.00821739512628028,-8.890674052963732e-05,0.00014440793711401056,0.07382885865445132,4.64471393115673e-05,-8.940914085542317e-06,-0.03313357613160406,0.01187652088174218,-3.9501956052845344e-05,0.007864287955953841,0.0023817732211561804
"bit, mate, bloody",-0.05684722160549427,0.008182111363566946,-0.030286891898867907,0.14139889599573507,0.03271409416993265,0.012719843889499316,0.010992440326390351,7.616792163389619e-05,2.6898613441517227e-05,-0.0719516314638895,0.0001061739381782445,-2.392328497080598e-05,0.007810996364241873,0.007488514164833759,-0.0001904598002511193,-0.002138735836865635,0.15218941052795
"boat, island, sea",0.037677928907214664,0.09830036789207952,0.0331112689764268,-0.056131330100697596,-0.007153334219765384,0.0130512344771887,0.008750288472583634,-5.619492640107637e-05,6.21149010839872e-05,0.012797720484741149,-3.7331046542021795e-05,-8.07338719823747e-05,-0.014186994718329515,-0.05471550774541356,-0.00011731579797924496,0.004782490402476469,-0.587822516660977
"book, read, write",-0.11064012147835456,0.012002653626041138,-0.011231471596147458,0.012079742818968953,0.0022927424197405344,0.024061029151198454,0.0118882323224625,-7.79178861876062e-05,-3.954274301065652e-05,-0.02352106134276255,-6.698586730635725e-06,-1.6153107935679145e-05,0.021601324675430078,-0.011433660736656748,-0.00015569572860840708,0.010826556160793643,0.0562518743303948
"brother, uncle, sister",0.048382956578279845,0.0034868000911956187,-0.01963090458229999,-0.011483051093819086,0.01437556689052144,0.005072436708360328,0.01791673685556816,-1.1952319255215116e-05,8.565516054659383e-06,-0.03882117566172383,-5.851266541867517e-05,-0.0001157535562015255,-0.041248451932915486,0.004495578579735593,-0.00011816473124781623,-0.004123718259279485,0.03790812059143778
"car, drive, stop",0.023060595853166888,0.027477657743474992,0.014833015620752121,0.046752207201279816,-0.0006369402435666416,-0.024994809163217724,0.009188927449031326,-3.585311787901446e-05,2.575915368652204e-05,0.04562396574510785,-4.1151460663968464e-05,-4.105751895622234e-05,0.0005830675581819378,0.00432717878220501,0.00013409025268629193,-0.009426637363503687,-0.9003225647081199
"case, police, found",-0.10957848161433503,-0.05484391084610252,0.026012649808762944,-0.2489735868293792,0.15994358526950236,0.02664077373992768,-0.015676630293455673,-5.344809505913872e-05,3.197810264055079e-05,0.048258962628096924,0.00010260551289320574,0.0003056759087485261,-0.087817966217699,-0.0014030303836989333,0.0005869789092685096,-0.008894518818124197,0.0424749329967784
"chuckles, man, woman",-0.013774759109878687,-0.01004384688258142,-0.11790069322250929,-0.0034434149292792426,0.011398647347050428,0.04658504614485537,-0.005670291049455045,2.1739317617175402e-06,8.84766932358616e-05,0.007706179301749216,-8.274339484160009e-05,-6.484671030193567e-05,0.006277604050012542,0.0039126409610616975,-0.00017103616119129583,0.01487915256211636,0.04112866975788865
"church, priest, man",-0.08590343074683915,-0.07617621130498264,-0.007875874764067703,-0.0569333508847194,-0.014096434473685804,0.10520271994846553,-0.016145443807545234,-0.00016605752398390905,-1.5696314221713692e-06,0.05163539903151104,4.266476386760587e-05,-2.3558080101793166e-05,-0.051622792416310403,-0.009830324228460086,-6.026836831551918e-05,0.008021596954904453,0.06962623865411999
"color, font, fontcolor",-0.011438217966770026,0.009637843191740103,0.018349160175603174,-0.012190874870881885,0.008406918821037834,-0.026931078158668242,0.006899888757288863,-6.340571144392015e-05,-0.00011194190506103041,0.021478965346432233,-5.8906200763431116e-05,-0.00014271364125306718,0.003060691306473018,0.00482835778370827,-8.617390903964406e-05,0.011958917940319225,0.06832459630542526
"dad, mom, home",-0.052103138870734256,0.0015515279355895473,-0.14574358111440233,-0.07989225780238485,-0.048848207039554836,0.17267567638555192,0.047625039354898036,7.943895434436854e-05,8.399255966651253e-05,-0.07428129054369492,-3.575721666493337e-05,2.0108657281525666e-05,-0.04956563780831402,0.0038873954945302103,-1.2691312804236077e-05,0.02235807513261534,-0.2994006785730545
"doctor, hospital, patient",-0.0944181154591206,-0.10909499429908465,-0.09248307500274677,-0.05625367654283764,-0.03724876310843683,0.060917590313692926,-0.004794411290276912,-2.3936850993777625e-05,1.977123065444175e-05,0.10038744415942347,5.232811940913962e-05,8.423134931945242e-05,-0.034371992927844985,-0.0008870876190485433,0.00023834328021621332,0.00904232554603368,0.12217278863423653
"dog, boy, cat",-0.0692908305563833,0.14683532820345135,0.2747445756904199,0.30543677022615157,-0.013750799646004452,-0.35683759765015566,0.08313024036760908,-1.6402360415668227e-05,-0.00023619075727765448,-0.1496886361774159,4.104889961809022e-05,-0.0002532273629185511,-0.04313236793677788,-0.18769949101533712,-0.0007677128051000182,-0.02491553183153883,-0.27647744716207434
"don, est, time",0.029247538281197194,0.006683616694772354,0.007556951145488711,-0.0015536708360741613,0.005938009070632688,-0.014899181756845792,-0.01082521680609716,-6.96151191732497e-05,2.061086718185834e-05,0.005378163657496771,-2.0290811562517774e-05,1.4178186120261671e-05,0.011193287596597656,-0.01116451683719788,2.6366647944087163e-05,0.014738162092271523,0.06170938644362489
"door, house, stay",-0.17072462528267351,-0.06699616051264456,-0.06386425987147959,-0.3119842024607351,-0.06031539221021376,-0.15245883339048305,-0.00208489586111682,-9.03096820366045e-05,6.945536642888328e-05,0.47852332607726566,9.706017408461776e-05,0.00022093046572990716,-0.06029701338411542,0.02652055485668825,0.0010672719217836857,0.0014049982855794951,0.14906616032960152
"eat, food, make",-0.03200044206096209,-0.049047741522372235,0.013965157708298648,0.19211234921385767,-0.02058020070398925,-0.019256148727436084,0.018597364155539253,-4.320455900597153e-05,-2.672228765732143e-05,0.052975760963818175,-1.1744421271941974e-05,-5.414186307461932e-05,0.004376884458906716,-0.007609985064846114,-0.00020224612308084033,0.008392462420943048,0.09455434244908001
"father, mother, son",-0.031824566633076756,-0.021526465972783626,-0.029387500291704782,-0.10183480483829044,0.0021393646511569386,0.15350726309770835,0.030251722902903566,-0.00012727061607620271,-0.0001054945250871242,-0.0233354574884288,-6.415651319002791e-05,-5.2046103974134894e-05,-0.026565670583750034,0.010850946593564004,-6.666669287369587e-05,0.031876710726919555,0.046153614694745215
"film, movie, scene",0.022469069476755976,0.015869810514232086,0.020515777944638103,0.0282791200952488,-0.024441580470011104,-0.03115259955120564,0.016322812917678675,-2.8022448134379374e-05,1.4943193491490092e-06,0.04254475196898966,2.0183157175779343e-05,-4.338941744208569e-05,-0.04022084050848207,0.007137383644021611,4.233532308717258e-05,0.01716799262712243,0.10393728506764588
"find, forest, stay",-0.01731495034073305,0.1195211804806604,0.09149410301688476,-0.03638784929535177,-0.10487958301018807,-0.09058685187665105,0.018410305401630467,-4.8590951337246224e-05,-0.0001498938561326213,0.12956173661586945,-5.269469056656817e-05,-4.335596361215721e-05,-0.0479426566780603,0.002166132680940791,1.3568801932706265e-05,-0.05187078109383947,0.06846047131071842
"find, gold, found",0.03454633480941993,0.13529654943704372,0.04588172825242509,0.021609804520267062,0.03977379664047476,-0.2448770569772023,0.0363574901712127,7.27974584151525e-05,-1.201612110435235e-05,-0.022746482948605262,-4.878155141341267e-05,5.4889947932679206e-05,-0.03978718123471481,-0.013765401390401166,-0.0001441504282411188,-0.11553356539025117,0.1232431975227477
"fucking, fuck, shit",0.003947465882447432,-0.1285821229139401,-0.20334914800696424,-0.2086608552508551,0.09817857898451621,0.1413893408007425,-0.26024598961521406,-0.00014492957961920183,-0.00012902770140499342,0.14618489944768953,-0.0001548331956655602,-1.2477059897264553e-05,-0.057796002583927475,0.0010662568279258267,0.00048751943540992215,0.03815659087183576,-0.06297401764278288
