	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	man, move, sir	world, time, man	dog, boy, cat	guys, dude, party	police, gun, cop	time, night, home	tree, time, snow	world, time, man	war, men, soldier	door, house, stay	love, life, heart	time, night, home	love, married, wife	human, world, virus	door, house, stay	war, men, soldier	town, horse, boy
2	police, gun, cop	dog, boy, cat	screaming, laughing, grunting	dog, boy, cat	case, police, found	love, life, heart	dog, boy, cat	ghost, ghosts, night	time, understand, make	ghost, ghosts, night	put, hair, head	case, police, found	time, love, make	time, world, years	man, move, sir	man, guy, thing	time, understand, make
3	world, time, man	find, gold, found	human, world, virus	love, sex, women	man, guy, thing	war, men, soldier	guys, dude, party	man, guy, thing	love, married, wife	kill, dead, killed	man, guy, thing	man, guy, thing	love, life, heart	plane, ship, sir	phone, call, number	nice, home, stop	nice, home, stop
4	kill, dead, killed	find, forest, stay	time, wait, stop	love, married, wife	fucking, fuck, shit	village, people, water	dad, mom, home	love, life, heart	laughs, chuckles, sighs	fucking, fuck, shit	love, stop, leave	door, house, stay	heart, today, love	time, understand, make	case, police, found	fucking, fuck, shit	world, time, man
5	sir, police, people	boat, island, sea	find, forest, stay	man, guy, thing	money, pay, business	dad, mom, home	find, gold, found	people, life, things	baby, child, children	shit, hell, ass	time, love, make	kill, dead, killed	stop, young, bastard	time, love, make	kill, dead, killed	laughs, chuckles, sighs	police, gun, cop
6	master, sword, emperor	plane, ship, sir	world, time, man	eat, food, make	kill, dead, killed	time, love, make	nice, home, stop	king, princess, queen	people, country, government	screaming, laughing, grunting	time, world, years	phone, call, number	time, stop, eat	kill, dead, killed	fucking, fuck, shit	sir, police, people	man, girl, leave
7	human, world, virus	screaming, laughing, grunting	tree, time, snow	heart, today, love	man, shit, ass	father, mother, son	town, horse, boy	kill, dead, killed	love, stop, leave	find, forest, stay	world, time, man	laughs, chuckles, sighs	love, sex, women	door, house, stay	police, gun, cop	father, mother, son	leave, man, wait
8	win, fight, race	king, princess, queen	time, love, make	love, stop, leave	find, gold, found	fucking, fuck, shit	father, mother, son	time, love, make	love, life, heart	doctor, hospital, patient	school, class, teacher	time, understand, make	man, guy, thing	heart, today, love	time, night, home	put, hair, head	bit, mate, bloody
9	man, girl, leave	time, world, years	leave, man, wait	bit, mate, bloody	sir, police, people	people, life, things	time, love, make	dad, mom, home	time, night, home	baby, child, children	bit, mate, bloody	doctor, hospital, patient	man, girl, leave	time, night, home	time, love, make	time, wait, stop	door, house, stay
10	plane, ship, sir	guys, dude, party	love, life, heart	time, stop, eat	man, dear, sir	leave, man, wait	school, class, teacher	leave, man, wait	heart, today, love	music, dramatic, instrumental	shit, hell, ass	ghost, ghosts, night	man, dear, sir	man, girl, leave	screaming, laughing, grunting	people, life, things	stop, young, bastard
