	Action	Adventure	Animation	Crime	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	house, night, door	house, night, door	kill, dead, killed	world, power, time	fucking, fuck, shit	leave, understand, time	fontcolor, batman, simon	time, wait, make	guys, wait, shit	world, power, time	house, night, door	time, wait, make	time, wait, make	computer, system, security	boat, ship, island
2	leave, understand, time	fucking, fuck, shit	car, road, truck	magic, vampire, witch	soul, man, evil	fontcolor, batman, simon	computer, system, security	police, car, call	police, car, call	speaking, spanish, man	time, wait, make	police, car, call	stop, wait, time	human, people, virus	guys, school, girls
3	police, found, case	police, found, case	time, call, night	guys, wait, shit	doctor, hospital, remember	stop, wait, time	car, road, truck	world, power, time	time, stop, leave	time, world, planet	police, car, call	house, night, door	world, power, time	color, font, nbsp	human, people, virus
4	time, call, night	soul, man, evil	fucking, fuck, shit	human, people, virus	man, hell, guy	sir, leave, brother	magic, vampire, witch	money, pay, business	find, found, years	people, country, government	world, power, time	money, pay, business	magic, vampire, witch	time, wait, make	car, road, truck
5	guys, wait, shit	doctor, hospital, remember	guys, wait, shit	house, night, door	police, found, case	computer, system, security	man, hell, guy	man, horse, town	magic, vampire, witch	love, heart, life	film, movie, scene	fontcolor, batman, simon	time, world, planet	gold, treasure, don	time, wait, make
6	eat, day, time	love, heart, life	dad, mom, mother	village, find, water	time, stop, leave	sir, men, war	time, wait, make	eat, day, time	house, night, door	dad, mom, mother	police, found, case	stop, wait, time	man, horse, town	time, world, planet	mate, bit, bloody
7	man, horse, town	time, call, night	speaking, spanish, man	film, movie, scene	color, font, nbsp	fucking, fuck, shit	fucking, fuck, shit	king, father, princess	kill, dead, killed	sir, men, war	magic, vampire, witch	police, found, case	human, people, virus	sir, leave, brother	stop, wait, time
8	doctor, hospital, remember	time, life, years	house, night, door	dad, mom, mother	kill, dead, killed	human, people, virus	world, power, time	master, sword, kill	time, life, years	human, people, virus	soul, man, evil	soul, man, evil	time, stop, leave	guys, wait, shit	game, win, play
9	love, heart, life	time, stop, leave	man, horse, town	time, wait, make	stop, wait, time	guys, wait, shit	guys, wait, shit	computer, system, security	stop, wait, time	money, pay, business	screaming, chuckles, man	boat, ship, island	sir, men, war	man, horse, town	sir, move, man
10	dad, mom, mother	guys, wait, shit	master, sword, kill	people, country, government	time, call, night	time, wait, make	plane, train, minutes	love, heart, life	fucking, fuck, shit	time, stop, leave	man, hell, guy	people, country, government	find, found, years	ship, sir, planet	plane, train, minutes
