	Action	Adventure	Animation	Crime	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	sir, move, man	king, father, princess	time, wait, make	police, car, call	time, wait, make	magic, vampire, witch	guys, school, girls	house, night, door	love, heart, life	police, found, case	love, heart, life	time, world, planet	time, call, night	time, call, night	man, horse, town
2	police, car, call	world, power, time	world, power, time	police, found, case	eat, day, time	world, power, time	money, pay, business	guys, wait, shit	man, hell, guy	time, call, night	time, call, night	computer, system, security	police, found, case	sir, men, war	leave, understand, time
3	world, power, time	village, find, water	stop, wait, time	money, pay, business	dad, mom, mother	eat, day, time	screaming, chuckles, man	soul, man, evil	money, pay, business	sir, man, dear	time, stop, leave	human, people, virus	police, car, call	time, life, years	sir, men, war
4	master, sword, kill	boat, ship, island	computer, system, security	man, hell, guy	guys, school, girls	king, father, princess	kill, dead, killed	human, people, virus	sir, man, dear	book, read, write	time, life, years	ship, sir, planet	fucking, fuck, shit	eat, day, time	time, life, years
5	man, hell, guy	find, found, years	leave, understand, time	screaming, chuckles, man	village, find, water	kill, dead, killed	police, found, case	doctor, hospital, remember	master, sword, kill	house, night, door	man, horse, town	sir, move, man	guys, wait, shit	leave, understand, time	kill, dead, killed
6	kill, dead, killed	ship, sir, planet	eat, day, time	sir, man, dear	magic, vampire, witch	screaming, chuckles, man	police, car, call	fucking, fuck, shit	guys, school, girls	time, life, years	sir, leave, brother	man, hell, guy	screaming, chuckles, man	world, power, time	money, pay, business
7	sir, leave, brother	time, wait, make	village, find, water	fucking, fuck, shit	boat, ship, island	love, heart, life	sir, leave, brother	magic, vampire, witch	people, country, government	kill, dead, killed	guys, school, girls	kill, dead, killed	doctor, hospital, remember	man, hell, guy	gold, treasure, don
8	money, pay, business	gold, treasure, don	man, hell, guy	time, life, years	game, win, play	book, read, write	film, movie, scene	screaming, chuckles, man	world, power, time	screaming, chuckles, man	car, road, truck	sir, man, dear	people, country, government	kill, dead, killed	man, hell, guy
9	computer, system, security	screaming, chuckles, man	screaming, chuckles, man	stop, wait, time	king, father, princess	man, hell, guy	sir, men, war	sir, man, dear	eat, day, time	sir, leave, brother	book, read, write	time, life, years	time, life, years	sir, move, man	film, movie, scene
10	game, win, play	mate, bit, bloody	police, car, call	kill, dead, killed	find, found, years	find, found, years	ship, sir, planet	man, hell, guy	leave, understand, time	guys, wait, shit	sir, men, war	time, call, night	car, road, truck	fucking, fuck, shit	love, heart, life
