IMDB-ID,originalTitle,startYear,genres,documentLength
tt0016029,The Little Colonel,1935,Comedy Family Musical,8105
tt0018867,Escape from Hong Kong,1942,Adventure War,7637
tt0020621,Abschied,1930,Comedy Drama,4482
tt0020629,All Quiet on the Western Front,1930,Drama War,10097
tt0020640,Animal Crackers,1930,Comedy Musical,14217
tt0020641,Anna Christie,1930,Drama Romance,11047
tt0020670,Be Yourself!,1930,Comedy Musical,6959
tt0020679,The Benson Murder Case,1930,Crime Mystery Thriller,7524
tt0020686,The Big House,1930,Crime Drama Thriller,8494
tt0020691,The Big Trail,1930,Adventure Romance Western,11852
tt0020702,Born Reckless,1930,Crime Drama War,6789
tt0020707,Brand in der Oper,1930,Drama,7214
tt0020727,Einbrecher,1930,Comedy Musical,7706
tt0020738,La canzone dell'amore,1930,Drama,4693
tt0020783,The Concentratin' Kid,1930,Comedy Western,7520
tt0020814,David Golder,1931,Drama,4310
tt0020827,The Divorcee,1930,Drama Romance,9399
tt0020842,Die Drei von der Tankstelle,1930,Comedy Musical Romance,5710
tt0020876,Feet First,1930,Comedy,8499
tt0020945,Half Shot at Sunrise,1930,Comedy Musical,8804
tt0020960,Hell's Angels,1930,Drama War,7724
tt0020969,Der Herr auf Bestellung,1930,Comedy Musical,6093
tt0021040,Ladies of Leisure,1930,Drama Romance,9209
tt0021053,Laughter,1930,Comedy Romance,5911
tt0021067,Liebling der Götter,1930,Comedy,7856
tt0021068,Das Lied ist aus,1930,Musical,8198
tt0021079,Little Caesar,1931,Action Crime Drama,8539
tt0021128,Mary,1931,Mystery Thriller,5984
tt0021148,Min and Bill,1930,Comedy Drama,6579
tt0021153,Monte Carlo,1930,Comedy Musical Romance,7366
tt0021156,Morocco,1930,Drama Romance,3462
tt0021165,Murder!,1930,Crime Mystery Thriller,10717
tt0021168,Le mystère de la chambre jaune,1930,Crime Mystery,6049
tt0021191,A Notorious Affair,1930,Drama Romance,5286
tt0021197,The Office Wife,1930,Drama Romance,5745
tt0021234,Le parfum de la dame en noir,1931,Crime Drama,4263
tt0021268,Prazdnik svyatogo Yorgena,1930,Comedy,2237
tt0021273,Prix de beauté (Miss Europe),1930,Drama,2828
tt0021309,Le roman de Renard,1930,Adventure Animation Comedy,3242
tt0021322,The Royal Family of Broadway,1930,Comedy,10854
