IMDB-ID,originalTitle,startYear,genres,documentLength
tt0018867,Escape from Hong Kong,1942,Adventure War,7637
tt0020679,The Benson Murder Case,1930,Crime Mystery Thriller,7524
tt0020691,The Big Trail,1930,Adventure Romance Western,11852
tt0021068,Das Lied ist aus,1930,Musical,8198
tt0021128,Mary,1931,Mystery Thriller,5984
tt0021165,Murder!,1930,Crime Mystery Thriller,10717
tt0021168,Le mystère de la chambre jaune,1930,Crime Mystery,6049
tt0021378,Die singende Stadt,1930,Musical Romance,4214
tt0021814,Dracula,1931,Fantasy Horror,15273
tt0021815,Drácula,1931,Fantasy Horror,5225
tt0021864,La fin du monde,1931,Sci-Fi,3565
tt0022100,M - Eine Stadt sucht einen Mörder,1931,Crime Mystery Thriller,7904
tt0022135,Men Call It Love,1931,Romance,9276
tt0022291,Quick Trigger Lee,1931,Western,2631
tt0022639,Arsène Lupin,1932,Crime Mystery Romance,9552
tt0022810,Destry Rides Again,1932,Romance Western,11520
tt0022835,Dr. Jekyll and Mr. Hyde,1931,Horror Sci-Fi,9235
tt0022981,Haunted Gold,1932,Horror Mystery Western,3942
tt0023121,Law and Order,1932,Western,5881
tt0023194,The Mask of Fu Manchu,1932,Adventure Horror Sci-Fi,5271
tt0023238,The Most Dangerous Game,1932,Adventure Horror Mystery,4879
tt0023245,The Mummy,1932,Fantasy Horror,8433
tt0023249,Murders in the Rue Morgue,1932,Crime Horror Mystery,4029
tt0023285,Number Seventeen,1932,Crime Mystery Thriller,3749
tt0023335,The Phantom of Crestwood,1932,Crime Mystery,8206
tt0023551,Tarzan the Ape Man,1932,Action Adventure Romance,4932
tt0023563,Das Testament des Dr. Mabuse,1933,Crime,16830
tt0023649,Vampyr,1932,Fantasy Horror,3065
tt0023694,White Zombie,1932,Horror,3014
tt0023753,Alice in Wonderland,1933,Adventure Family Fantasy,6760
tt0023794,Berkeley Square,1933,Fantasy Romance,8117
tt0024056,Giallo,1934,Thriller,4759
tt0024184,The Invisible Man,1933,Horror Sci-Fi,17375
tt0024188,Island of Lost Souls,1932,Horror Sci-Fi,5400
tt0024216,King Kong,1933,Adventure Horror Sci-Fi,7364
tt0024266,La llorona,1933,Horror Mystery,2566
tt0024368,Mystery of the Wax Museum,1933,Horror Mystery Thriller,7274
tt0024554,A Shriek in the Night,1933,Crime Mystery Romance,5868
tt0024605,The Sphinx,1933,Mystery,6907
tt0024651,Le testament du Dr. Mabuse,1933,Crime Horror Mystery,5541
tt0024749,Walzerkrieg,1933,Musical,4579
tt0024768,The Whispering Shadow,1933,Action Crime Horror,8573
tt0024894,The Black Cat,1934,Adventure Crime Horror,3477
tt0024902,Blue Steel,1934,Western,4653
tt0025129,Fog Over Frisco,1934,Crime Mystery Thriller,8192
tt0025423,The Lost Patrol,1934,Adventure War,5647
tt0025452,The Man Who Knew Too Much,1934,Crime Mystery Thriller,5660
tt0025455,The Man from Utah,1934,Adventure Crime Romance,3465
tt0025529,Murder at the Vanities,1934,Musical Mystery Romance,10206
tt0025702,Ready for Love,1934,Romance,8683
tt0025861,El tango en Broadway,1934,Musical,6942
tt0025862,Tarzan and His Mate,1934,Action Adventure,6304
tt0025907,Treasure Island,1934,Adventure Family,11139
tt0025969,West of the Divide,1934,Romance Western,3976
tt0026023,Zouzou,1934,Crime Musical Romance,5843
tt0026029,The 39 Steps,1935,Mystery Thriller,9643
tt0026122,The Black Mask,1935,Crime,4843
tt0026123,The Black Room,1935,Crime Horror,5248
tt0026174,Captain Blood,1935,Action Adventure,11470
tt0026252,Curly Top,1935,Family Musical Romance,6136
tt0026385,Frisco Kid,1935,Adventure Romance,7707
tt0026663,Mad Love,1935,Horror Romance Sci-Fi,6392
tt0026685,Mark of the Vampire,1935,Horror Mystery,5468
tt0026868,The Phantom Light,1935,Mystery Thriller,7538
tt0026912,The Raven,1935,Crime Horror,5055
tt0026983,She,1935,Adventure Fantasy Romance,7870
tt0027221,Wings in the Dark,1935,Adventure Romance,6801
tt0027238,Zigeunerbaron,1935,Musical,7837
tt0027438,The Charge of the Light Brigade,1936,Action Adventure Romance,10566
tt0027440,Charlie Chan at the Opera,1936,Mystery,6434
tt0027527,Dimples,1936,Family Musical,8700
tt0027653,Fährmann Maria,1936,Fantasy Horror Mystery,2339
tt0027688,Le golem,1936,Fantasy Horror,2824
tt0027800,The Invisible Ray,1936,Horror Sci-Fi Thriller,5966
tt0027834,Der Kaiser von Kalifornien,1936,Western,4035
tt0028212,Sabotage,1936,Thriller,7792
tt0028231,Secret Agent,1936,Mystery Thriller,8406
tt0028292,Spendthrift,1936,Romance,13691
tt0028315,Stowaway,1936,Adventure Family Musical,9805
tt0028345,Tarzan Escapes,1936,Action Adventure,5978
tt0028478,The Walking Dead,1936,Crime Horror Sci-Fi,7023
tt0028508,Wildcat Trooper,1936,Action Adventure Western,8314
tt0028533,"¡Centinela, alerta!",1937,Musical,6521
tt0028665,Broadway Melody of 1938,1937,Musical Romance,12441
tt0028767,Dark Journey,1937,Adventure Romance Thriller,5359
tt0028872,Fire Over England,1937,Adventure History Romance,7795
tt0029309,Night Key,1937,Crime Thriller,9391
tt0029583,Snow White and the Seven Dwarfs,1937,Animation Family Fantasy,4915
tt0029751,Wee Willie Winkie,1937,Adventure Family,7702
tt0029811,Young and Innocent,1937,Crime Mystery Romance,9160
tt0029843,The Adventures of Robin Hood,1938,Action Adventure Romance,18994
tt0029844,The Adventures of Tom Sawyer,1938,Adventure Family,6467
tt0029895,Bar 20 Justice,1938,Western,5486
tt0030089,The Duke Is Tops,1938,Musical,6343
tt0030150,Four Men and a Prayer,1938,Adventure Mystery,10857
tt0030273,International Crime,1938,Adventure Crime Mystery,9029
tt0030312,Kate Plus Ten,1938,Crime Thriller,10223
tt0030341,The Lady Vanishes,1938,Mystery Thriller,19468
tt0030470,Mr. Moto's Gamble,1938,Crime Mystery,19346
tt0030593,Po shchuchemu veleniyu,1938,Family Fantasy,2410
tt0030845,The Terror of Tiny Town,1938,Western,4074
tt0030850,The Texans,1938,Western,8766
tt0031022,The Adventures of Sherlock Holmes,1939,Crime Mystery Thriller,9183
tt0031033,Allegheny Uprising,1939,Adventure History Western,8670
tt0031111,Boefje,1939,Crime,8945
tt0031207,Daredevils of the Red Circle,1939,Action Adventure Crime,3624
tt0031235,Dodge City,1939,Western,12304
tt0031346,Frontier Marshal,1939,Western,7244
tt0031359,Gaslight,1940,Thriller,7401
tt0031448,The Hound of the Baskervilles,1939,Horror Mystery Thriller,9546
tt0031505,Jamaica Inn,1939,Adventure Crime,11054
tt0031614,The Man They Could Not Hang,1939,Crime Horror Sci-Fi,7605
tt0031619,The Man in the Iron Mask,1939,Adventure History Romance,10738
tt0031747,The Oklahoma Kid,1939,Action Adventure History,7927
tt0031842,The Real Glory,1939,Action History Romance,8570
tt0031851,The Return of Doctor X,1939,Horror Mystery Sci-Fi,7994
tt0031968,The Spy in Black,1939,Thriller War,6274
tt0031971,Stagecoach,1939,Adventure Western,8045
tt0032007,Tarzan Finds a Son!,1939,Action Adventure Family,4515
tt0032146,Wyoming Outlaw,1939,Western,4199
tt0032215,The Ape,1940,Horror,6426
tt0032229,Un'avventura di Salvator Rosa,1939,Adventure,10471
tt0032245,Before I Hang,1940,Crime Horror Sci-Fi,5241
tt0032284,Broadway Melody of 1940,1940,Musical,8884
tt0032356,Contraband,1940,Adventure Romance,7975
tt0032484,Foreign Correspondent,1940,Action Romance Thriller,14465
tt0032762,The Mark of Zorro,1940,Action Adventure Romance,8617
tt0032818,The Mummy's Hand,1940,Adventure Fantasy Horror,6345
tt0032823,Music in My Heart,1940,Musical Romance,7779
tt0032842,Night Train to Munich,1940,Thriller War,11027
tt0032983,The Return of Frank James,1940,Crime History Western,9737
tt0033152,The Thief of Bagdad,1940,Adventure Family Fantasy,7141
tt0033254,When the Daltons Rode,1940,Western,8489
tt0033383,Belle Starr,1941,Western,8464
tt0033489,La corona di ferro,1941,Adventure Fantasy,7932
tt0033501,Croisières sidérales,1942,Sci-Fi,12455
tt0033523,Le dernier des six,1941,Mystery Thriller,9010
