,jaccard_sim,hamming_loss,f1_micro,f1_macro,f1_weighted,f1_samples,accuracy_percentage,accuracy_number
100t_1000i,0.4417618489583333,0.09619071691176471,0.5287295310139045,0.3264861853335286,0.48534750518251013,0.5298896825396825,0.2047109375,327.53749999999997
100t_100i,0.44440633370535715,0.09592555147058825,0.5316479404321144,0.33033033845667237,0.4879094252344763,0.5329813678075397,0.2056484375,329.03749999999997
100t_10i,0.4421248334347945,0.09624402573529411,0.5290911746775856,0.3249262502245639,0.4847701577599719,0.530365482390873,0.204296875,326.875
100t_250i,0.44113400297619043,0.0962375919117647,0.5284082936312352,0.325121785603181,0.4835641012765141,0.5291650483630953,0.2039453125,326.31250000000006
100t_500i,0.44542358630952383,0.09564154411764707,0.5333093693426117,0.33302796531156176,0.4900081270283946,0.5346112475198413,0.204484375,327.175
100t_50i,0.44374100632440466,0.09588419117647058,0.5304155808894833,0.3248330950305892,0.4858480585867776,0.5320090153769843,0.2059609375,329.5375
50t_1000i,0.4456920262896825,0.0944076286764706,0.5348358421020998,0.3339539546441132,0.4891062701023632,0.5341236246392496,0.2063828125,330.2125
50t_100i,0.4439813430059524,0.09474724264705882,0.5329012287903016,0.3298654277507643,0.4870049986084668,0.5324110863095238,0.2051875,328.3
50t_10i,0.44357475818452385,0.09483272058823529,0.5326656727742497,0.33146834671176745,0.48676400391880936,0.5320370163690475,0.20506249999999998,328.09999999999997
50t_250i,0.4442483382936508,0.09455055147058822,0.5322625211002975,0.327238027743111,0.48555385480462343,0.5323814174107143,0.2065390625,330.4625
50t_500i,0.44716008184523814,0.09436443014705882,0.5353517522522944,0.33215466584576286,0.4889830569620634,0.5363207341269841,0.2071015625,331.3625
50t_50i,0.44456142113095237,0.09457766544117646,0.534617378396419,0.33182674597966855,0.4892499588280024,0.5331380518353175,0.2046953125,327.5125
60t_1000i,0.447494724025974,0.09430560661764706,0.5353321692547219,0.3308168875734532,0.4903544909246458,0.5363058698679792,0.20794531250000003,332.71250000000003
60t_100i,0.4498106026785714,0.09422518382352942,0.5379047477185176,0.3366410311840027,0.49311550866565435,0.539253267609127,0.20834375000000002,333.34999999999997
60t_10i,0.4458811383928571,0.0945689338235294,0.5340727506495471,0.33233846641728354,0.4891188777450404,0.5343968377976192,0.20675,330.8
60t_250i,0.44743957403273804,0.09442693014705882,0.5349339177311674,0.3324995922863966,0.4899150475044841,0.5358611004013348,0.20886718750000002,334.1875
60t_500i,0.4475302083333333,0.09443520220588235,0.5360572912914147,0.335972217084376,0.4916273861592959,0.5365051525297619,0.20689062500000002,331.025
60t_50i,0.4452516284496753,0.09470496323529412,0.5341443416413029,0.33394597242228097,0.48942034862669287,0.5339981770833333,0.205796875,329.275
70t_1000i,0.4455064639136905,0.09478079044117649,0.5341836156212245,0.3318559373163249,0.489297308184485,0.5345957234172078,0.205296875,328.47499999999997
70t_100i,0.44870667782738094,0.09438878676470587,0.5367250872882102,0.33233738105145844,0.4915252622723675,0.5377627418154762,0.2080078125,332.81250000000006
70t_10i,0.4464674572172619,0.09467693014705883,0.5345203794474689,0.3351513413729494,0.4902643896488659,0.5348391803075397,0.20810156250000003,332.9625
70t_250i,0.4447953683035714,0.09494163602941176,0.532791935341014,0.3280300148850012,0.4872054434520998,0.5332285528273809,0.2063984375,330.2375
70t_500i,0.4440895275297619,0.09505376838235294,0.5317039206681157,0.3282207657034693,0.4864096225807203,0.5322677827380953,0.2062421875,329.98749999999995
70t_50i,0.44735944940476186,0.09455330882352941,0.5353883428106249,0.33179172006250396,0.49060531807725594,0.5357736607142857,0.20828125000000003,333.25
80t_1000i,0.44584925595238095,0.09507628676470588,0.5328106233974448,0.32656702123647663,0.4878377577828381,0.534422445436508,0.20688281249999999,331.01250000000005
80t_100i,0.44429660838293655,0.0953860294117647,0.5321658907929714,0.3319191103093988,0.4882936059137988,0.5328789186507937,0.20513281249999998,328.2125
80t_10i,0.44873981584821426,0.09459466911764705,0.5364142485811381,0.33363233857623603,0.4926155873434019,0.5378832589285715,0.20796874999999998,332.75
80t_250i,0.44463299231150794,0.09514338235294117,0.5325185827764086,0.33105452668194796,0.4869309040725892,0.5330986421130952,0.20618749999999997,329.90000000000003
80t_500i,0.4468955729166666,0.0949108455882353,0.5337805655423316,0.3313744210535404,0.4893333962503802,0.5353183841765873,0.20795312500000002,332.725
80t_50i,0.44720366443452386,0.09487729779411766,0.5338671148941483,0.3308535927150102,0.4888250224200028,0.5360189360119046,0.2079296875,332.68749999999994
90t_1000i,0.44319241381448415,0.09575137867647059,0.5306995764701925,0.3268968884031711,0.4857801732958166,0.5316814918154762,0.20461718750000002,327.38750000000005
90t_100i,0.44638874627976194,0.09522242647058825,0.5341305593358738,0.33224345796357363,0.4897257327453383,0.5352960007440477,0.2067578125,330.8125
90t_10i,0.44257154637896823,0.0958529411764706,0.5296557726867073,0.3267453913797804,0.48578358004514444,0.5307391927083333,0.20496093750000005,327.9375
90t_250i,0.4487631200396825,0.09498575367647058,0.535597926387715,0.3335150599240566,0.49218547942959745,0.5376709150658369,0.20853125,333.65000000000003
90t_500i,0.4457811910962301,0.09519439338235294,0.5333473812481613,0.3300324677948841,0.4893407171227063,0.5343057178932179,0.2068203125,330.9125
90t_50i,0.44531990327380955,0.09564062499999999,0.5327754986840436,0.33084831630199957,0.48893864664623476,0.5341925781249999,0.2058203125,329.31250000000006
