,jaccard_sim,hamming_loss,f1_micro,f1_macro,f1_weighted,f1_samples,accuracy_percentage,accuracy_number
100t_1000i,0.4457989981033205,0.10354941569894842,0.5560958716167372,0.4227306990269529,0.5318975021303864,0.5278965155610404,0.2151074690794317,207.00000000000003
100t_100i,0.44056003283953044,0.10458500826491482,0.5506999905976792,0.4126621648627055,0.5264538566923584,0.5228617429435187,0.21063935520711224,202.70000000000002
100t_10i,0.4456653617518104,0.10384848813587132,0.5554569807511178,0.42372677901877653,0.5312353005355306,0.5282108115879534,0.2145738882304303,206.4875
100t_250i,0.4414971831619028,0.10447341662294933,0.5517255209156351,0.4149279310168965,0.5280418793140693,0.5243101549994073,0.21026210430416042,202.3375
100t_500i,0.445980339902653,0.10376400663783841,0.5560742185124828,0.41786273960396825,0.5314843486861449,0.5287617648190078,0.2141074890490778,206.0375
100t_50i,0.44153324337611716,0.1044966497770236,0.5519772785414517,0.4161258381702636,0.527726935133346,0.5243840929851444,0.20970381776456545,201.79999999999998
50t_1000i,0.46203735890943826,0.09970209875583708,0.5722710357941261,0.4315103185049577,0.5448044140018546,0.545357377582845,0.22752460854096368,218.95000000000002
50t_100i,0.4555327352874081,0.10091154598163944,0.5659883348070318,0.42645112922852774,0.5390860535409366,0.5391869760532144,0.22071852136104475,212.39999999999998
50t_10i,0.45691735293370805,0.10063904666708405,0.5670491595482319,0.42808374142175926,0.5398372448984513,0.5404033898835302,0.22258881365189775,214.2
50t_250i,0.4543733885497904,0.10104672069625342,0.5644071965560595,0.42483743176195077,0.5367215488062793,0.5377102531424962,0.21995284734770715,211.6625
50t_500i,0.4566851441150507,0.10048317278457465,0.5670167779828548,0.43299954358159365,0.5401804971799743,0.539532425674365,0.22380932334203363,215.375
50t_50i,0.45875452746509987,0.10027526178227114,0.568496549238855,0.43317923843542516,0.5418314174099511,0.541986673660155,0.2245113238688005,216.04999999999998
60t_1000i,0.45279568209474746,0.10163541686906175,0.5635970928503066,0.4246262968596962,0.5376498401959859,0.5363101602295528,0.21813426024874624,209.9125
60t_100i,0.4560780144585635,0.10110685271900226,0.5653649924887186,0.4303343553711956,0.5394804929095784,0.5389894285776295,0.223367562386254,214.95
60t_10i,0.4533643487060542,0.10105630792546681,0.5645111324588914,0.42992373896917746,0.538431828314261,0.5365220215132598,0.2185620829312418,210.32500000000002
60t_250i,0.45417444098226817,0.10097818163238724,0.5663418031597696,0.43149012825589345,0.5409622762017913,0.5369454583706921,0.2199655982366263,211.675
60t_500i,0.4576775107660037,0.10055409921064126,0.5679038386592294,0.4296275610325252,0.5426093461341108,0.5405098971892196,0.2238486419561186,215.4125
60t_50i,0.45343969013945645,0.1012407707851633,0.5642850490776333,0.42603470608839883,0.5375619079105166,0.5364453235510478,0.2197567265324275,211.47500000000002
70t_1000i,0.45195129220830155,0.1019810392707589,0.5614416574421714,0.42233098874221364,0.5351370276286648,0.5347524841070401,0.21854980429746787,210.3125
70t_100i,0.4497297722808821,0.10212139349989818,0.559866709060212,0.4211473989679243,0.5339076656631881,0.5326247639526456,0.21705550806018098,208.875
70t_10i,0.4503368050126227,0.10209546624266251,0.5607194411496937,0.41931692346035887,0.534199885253638,0.5332213000846179,0.217498038117197,209.3
70t_250i,0.4525086222224073,0.10147728155905726,0.5631421829848109,0.4256126690274479,0.5373809714312063,0.535462388610753,0.21879675325937012,210.54999999999998
70t_500i,0.4477339586685381,0.10257765763606885,0.5583360298730278,0.42001773536826353,0.5323547493908293,0.5304341314757981,0.21517154735612679,207.06249999999997
70t_50i,0.45096924431620683,0.10163145082537607,0.5613153187104664,0.424995580382469,0.5348683607456604,0.53350888027874,0.2189255979559718,210.67499999999998
80t_1000i,0.45285387950983746,0.1021308916752842,0.5625969866293188,0.42931760378747424,0.5379484615569373,0.5361376418911467,0.219238446750129,210.97499999999997
80t_100i,0.45063495227922795,0.10237142336441402,0.5611428626830068,0.42078180418949335,0.5356016962196436,0.5335087218586051,0.2175759197371347,209.375
80t_10i,0.4462959378803421,0.10306869504299411,0.5561918624731127,0.4178971586143692,0.5300704583070527,0.5289976479102259,0.21475675891563742,206.66250000000002
80t_250i,0.4489657205282205,0.1026450956707966,0.558427512619826,0.42391942921384645,0.5332253466607358,0.5312687653429476,0.2183806964764909,210.15
80t_500i,0.4513289423306947,0.10243826141022401,0.5606688595602777,0.4259901719693459,0.5355264544510285,0.5347105318513029,0.21769262073000392,209.4875
80t_50i,0.4506886412639917,0.10229203232707906,0.5618133910106375,0.4249833332373388,0.5371194419951095,0.5339115529059064,0.2166276044196605,208.4625
90t_1000i,0.44985668933098844,0.10300386745480206,0.5602173690142621,0.42478082715712134,0.5364007941842193,0.5333028704744196,0.21563988953007646,207.5125
90t_100i,0.4481806553331086,0.10292431720001813,0.5579360769768436,0.4165778262784567,0.5321752250150692,0.5306266532785224,0.21617141944244747,208.02500000000003
90t_10i,0.4441204942971882,0.10327145441631423,0.5562381811441317,0.4164960549803889,0.5317560206823679,0.5264968071889802,0.2131981415275808,205.1625
90t_250i,0.44293267274283626,0.10374679046408017,0.5535989781311066,0.41485883175689214,0.5277994416132907,0.5250020457964384,0.21322345440336093,205.1875
90t_500i,0.44569188935135196,0.10346629609480076,0.5557409477848896,0.4152391494335191,0.5303826931994058,0.5285482369623725,0.2140034175080904,205.9375
90t_50i,0.44681239149697094,0.10348867109381128,0.5573724071613151,0.4210570290516029,0.5329106194674575,0.5297825226290958,0.2145488182287248,206.46249999999998
